policy,exposure,num_claims,amt_claims,f_primary_age_tier,f_primary_gender,f_marital,f_residence_location,f_fire_alarm_type,f_mile_fire_station,f_aoi_tier
A00235,1,1,895.42,> 60,Female,Not Married,Rural,None,> 10 miles,601K - 1M
G00236,1,0,0.00,< 21,Male,Not Married,Suburban,None,< 1 mile,351K - 600K
Z00237,1,0,0.00,28 - 37,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
P00238,1,1,359.36,28 - 37,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A00239,1,0,0.00,< 21,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
A00240,1,2,807.61,38 - 60,Male,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
P00241,0.69,1,"1,621.71",21 - 27,Male,Un-Married,Suburban,Alarm Service,< 1 mile,601K - 1M
G00242,1,0,0.00,28 - 37,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
A00243,1,1,415.26,> 60,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
G00244,1,1,132.31,38 - 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
G00245,1,1,718.56,28 - 37,Male,Un-Married,Rural,Alarm Service,1 - 5 miles,601K - 1M
Z00246,1,1,930.22,< 21,Female,Un-Married,Suburban,Standalone,1 - 5 miles,351K - 600K
G00247,1,0,0.00,28 - 37,Female,Un-Married,Urban,None,< 1 mile,100K - 350K
G00248,1,1,20.99,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,601K - 1M
G00249,1,2,"6,477.17",28 - 37,Male,Married,Urban,None,1 - 5 miles,351K - 600K
A00250,1,1,"1,636.86",28 - 37,Female,Married,Suburban,Standalone,1 - 5 miles,601K - 1M
A00251,1,0,0.00,< 21,Male,Married,Urban,Standalone,< 1 mile,601K - 1M
Z00252,1,2,"1,895.09",28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,> 1M
Z00253,0.89,1,957.34,28 - 37,Female,Married,Suburban,Alarm Service,1 - 5 miles,100K - 350K
P00254,1,0,0.00,21 - 27,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
P00255,0.85,1,"1,871.51",< 21,Female,Married,Suburban,None,1 - 5 miles,601K - 1M
P00256,0.64,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,< 1 mile,> 1M
P00257,1,1,"1,746.65",28 - 37,Female,Married,Suburban,Alarm Service,1 - 5 miles,601K - 1M
Z00258,0.32,2,"1,870.69",< 21,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
A00259,0.43,0,0.00,21 - 27,Female,Married,Suburban,Alarm Service,< 1 mile,601K - 1M
G00260,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
G00261,0.93,0,0.00,> 60,Female,Married,Urban,None,< 1 mile,351K - 600K
G00262,0.82,0,0.00,28 - 37,Male,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G00263,1,1,623.99,28 - 37,Male,Married,Rural,Alarm Service,6 - 10 miles,100K - 350K
A00264,1,1,"1,237.48",38 - 60,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
Z00265,1,2,"2,011.68",21 - 27,Female,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
P00266,1,2,"4,066.21",> 60,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
P00267,1,1,746.34,21 - 27,Female,Un-Married,Urban,None,< 1 mile,100K - 350K
Z00268,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
P00269,0.25,1,"1,538.25",28 - 37,Female,Married,Suburban,Standalone,< 1 mile,< 100K
G00270,0.58,0,0.00,38 - 60,Male,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
Z00271,1,0,0.00,21 - 27,Female,Un-Married,Urban,None,< 1 mile,351K - 600K
P00272,1,1,871.90,21 - 27,Female,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
A00273,0.6,1,"1,705.34",28 - 37,Male,Married,Suburban,Alarm Service,6 - 10 miles,601K - 1M
Z00274,1,0,0.00,> 60,Male,Not Married,Suburban,Alarm Service,< 1 mile,601K - 1M
Z00275,0.01,1,"1,845.88",< 21,Female,Not Married,Suburban,None,1 - 5 miles,100K - 350K
P00276,0.14,1,"2,919.28",< 21,Male,Not Married,Urban,Standalone,< 1 mile,100K - 350K
