,MSTATUS,TRAVTIME,TIF,CAR_TYPE,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,CLM_COUNT,EXPOSURE
40,No,12,6,Panel Truck,No,5,15.0,Highly Urban/ Urban,0,1.0
41,Yes,38,4,Van,No,0,13.0,Highly Urban/ Urban,0,1.0
42,Yes,65,1,Minivan,No,0,12.0,Highly Rural/ Rural,0,0.213
43,No,18,1,Minivan,No,0,14.0,Highly Urban/ Urban,0,1.0
44,Yes,47,1,SUV,No,2,9.0,Highly Rural/ Rural,0,1.0
45,Yes,38,6,Van,No,0,15.0,Highly Urban/ Urban,0,1.0
46,No,22,4,Sports Car,No,3,1.0,Highly Urban/ Urban,0,1.0
47,Yes,10,1,SUV,No,0,11.0,Highly Urban/ Urban,0,1.0
48,No,48,1,SUV,No,1,6.0,Highly Rural/ Rural,0,1.0
49,Yes,22,1,Pickup,No,0,7.0,Highly Urban/ Urban,0,0.537
50,Yes,40,1,Sports Car,No,0,8.0,Highly Urban/ Urban,0,1.0
51,No,44,4,Minivan,No,0,1.0,Highly Rural/ Rural,0,1.0
52,Yes,5,4,Panel Truck,No,1,5.0,Highly Urban/ Urban,0,1.0
53,Yes,62,6,Minivan,No,2,5.0,Highly Urban/ Urban,0,1.0
54,Yes,35,6,SUV,No,5,,Highly Urban/ Urban,0,1.0
55,Yes,36,10,Minivan,No,0,15.0,Highly Urban/ Urban,0,0.873
56,Yes,33,6,SUV,No,0,5.0,Highly Rural/ Rural,0,1.0
57,Yes,40,18,Minivan,No,3,1.0,Highly Urban/ Urban,0,1.0
58,No,10,1,Minivan,No,0,,Highly Urban/ Urban,0,0.054
59,Yes,24,1,Minivan,No,2,11.0,Highly Rural/ Rural,0,1.0
60,No,20,4,Pickup,Yes,13,6.0,Highly Urban/ Urban,3,0.348
61,No,29,1,Minivan,Yes,2,1.0,Highly Urban/ Urban,0,1.0
62,No,62,4,Sports Car,No,0,,Highly Urban/ Urban,2,0.354
63,Yes,15,6,Minivan,No,2,16.0,Highly Urban/ Urban,0,0.12
64,Yes,37,1,SUV,No,1,1.0,Highly Urban/ Urban,1,1.0
65,Yes,30,13,Minivan,No,0,6.0,Highly Urban/ Urban,0,1.0
66,Yes,50,6,Van,Yes,0,13.0,Highly Urban/ Urban,1,1.0
67,Yes,26,4,Minivan,Yes,0,1.0,Highly Rural/ Rural,2,1.0
68,Yes,14,13,Panel Truck,No,1,10.0,Highly Urban/ Urban,0,1.0
69,No,24,4,Minivan,No,0,10.0,Highly Urban/ Urban,2,1.0
70,Yes,46,13,SUV,No,0,1.0,Highly Urban/ Urban,2,1.0
71,Yes,20,4,SUV,Yes,0,8.0,Highly Urban/ Urban,0,0.72
72,No,13,4,Sports Car,Yes,2,10.0,Highly Urban/ Urban,2,0.243
73,Yes,35,10,Pickup,No,2,1.0,Highly Urban/ Urban,0,1.0
74,No,43,5,SUV,No,4,4.0,Highly Urban/ Urban,2,1.0
75,Yes,27,4,Sports Car,No,8,,Highly Urban/ Urban,0,1.0
76,No,29,1,Sports Car,No,0,15.0,Highly Urban/ Urban,3,1.0
77,No,31,3,Panel Truck,Yes,2,18.0,Highly Urban/ Urban,0,1.0
78,No,13,3,Minivan,Yes,2,11.0,Highly Urban/ Urban,0,0.006
79,Yes,28,1,SUV,No,6,20.0,Highly Urban/ Urban,0,0.495
80,No,22,4,Panel Truck,Yes,1,12.0,Highly Urban/ Urban,0,1.0
81,Yes,30,13,Pickup,No,0,,Highly Urban/ Urban,0,1.0
82,Yes,40,6,Panel Truck,No,1,17.0,Highly Urban/ Urban,0,0.75
83,No,11,1,SUV,No,0,18.0,Highly Urban/ Urban,0,0.003
84,Yes,9,6,Minivan,No,0,1.0,Highly Urban/ Urban,0,0.309
85,No,25,1,Minivan,No,2,11.0,Highly Urban/ Urban,6,1.0
86,Yes,57,4,Sports Car,Yes,2,7.0,Highly Urban/ Urban,3,1.0
87,Yes,50,3,Sports Car,No,3,,Highly Urban/ Urban,0,0.879
88,Yes,43,1,SUV,No,1,3.0,Highly Urban/ Urban,5,1.0
89,No,49,10,Sports Car,No,0,1.0,Highly Urban/ Urban,0,0.414
90,Yes,14,13,Pickup,No,4,1.0,Highly Urban/ Urban,4,1.0
91,No,27,1,SUV,No,2,12.0,Highly Urban/ Urban,0,1.0
92,Yes,42,10,SUV,No,6,14.0,Highly Urban/ Urban,0,1.0
93,No,35,10,Sports Car,No,0,1.0,Highly Rural/ Rural,0,1.0
94,No,42,1,Minivan,No,0,14.0,Highly Rural/ Rural,0,1.0
95,No,50,13,Minivan,No,0,6.0,Highly Rural/ Rural,0,1.0
96,Yes,61,6,Minivan,No,0,11.0,Highly Urban/ Urban,0,0.711
97,Yes,41,10,Van,No,5,6.0,Highly Rural/ Rural,0,0.693
98,Yes,32,1,SUV,No,4,1.0,Highly Urban/ Urban,3,1.0
99,No,21,1,SUV,No,0,8.0,Highly Urban/ Urban,0,1.0
100,No,15,6,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
101,No,23,6,Pickup,No,0,,Highly Urban/ Urban,0,1.0
102,Yes,5,6,Minivan,No,0,13.0,Highly Urban/ Urban,0,1.0
103,Yes,21,1,Pickup,No,6,11.0,Highly Urban/ Urban,0,0.957
104,Yes,28,4,SUV,No,0,,Highly Rural/ Rural,0,0.39
105,Yes,36,4,Sports Car,No,0,8.0,Highly Urban/ Urban,0,1.0
106,Yes,28,6,Minivan,No,2,9.0,Highly Urban/ Urban,0,1.0
107,No,36,1,Van,No,3,15.0,Highly Urban/ Urban,0,1.0
108,Yes,25,9,SUV,No,2,1.0,Highly Urban/ Urban,3,1.0
109,Yes,24,7,Minivan,Yes,4,17.0,Highly Urban/ Urban,0,1.0
110,Yes,59,4,Minivan,No,1,9.0,Highly Urban/ Urban,3,1.0
111,No,17,13,Panel Truck,No,6,17.0,Highly Urban/ Urban,3,0.993
112,No,33,4,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
113,Yes,18,13,Panel Truck,No,0,14.0,Highly Urban/ Urban,0,1.0
114,Yes,26,1,Pickup,No,0,8.0,Highly Rural/ Rural,0,0.423
115,No,14,1,Minivan,No,2,5.0,Highly Urban/ Urban,3,1.0
116,Yes,48,7,SUV,No,3,6.0,Highly Urban/ Urban,4,1.0
117,Yes,63,1,Minivan,No,2,14.0,Highly Urban/ Urban,0,1.0
118,Yes,50,1,SUV,No,0,10.0,Highly Urban/ Urban,2,0.828
119,Yes,26,1,SUV,No,3,7.0,Highly Urban/ Urban,0,1.0
120,No,36,1,Minivan,No,3,10.0,Highly Rural/ Rural,0,1.0
121,No,8,16,Panel Truck,No,0,1.0,Highly Urban/ Urban,0,1.0
122,Yes,23,6,SUV,No,0,1.0,Highly Urban/ Urban,7,0.192
123,Yes,23,7,SUV,No,0,16.0,Highly Urban/ Urban,0,1.0
124,No,21,9,Pickup,No,4,15.0,Highly Urban/ Urban,0,0.942
125,No,27,6,SUV,No,3,1.0,Highly Urban/ Urban,0,0.864
126,Yes,33,4,Pickup,No,1,5.0,Highly Urban/ Urban,4,0.753
127,Yes,23,11,SUV,No,2,1.0,Highly Urban/ Urban,0,1.0
128,Yes,31,1,Van,No,0,,Highly Urban/ Urban,6,1.0
129,Yes,40,4,Sports Car,No,0,10.0,Highly Rural/ Rural,0,1.0
130,Yes,18,1,SUV,Yes,0,15.0,Highly Urban/ Urban,0,1.0
131,Yes,48,1,Van,No,0,13.0,Highly Urban/ Urban,0,1.0
132,Yes,14,1,Van,No,0,,Highly Urban/ Urban,0,0.03
133,Yes,33,6,Panel Truck,No,0,,Highly Urban/ Urban,0,0.516
134,No,28,3,Van,No,1,8.0,Highly Urban/ Urban,5,0.417
135,Yes,35,1,Sports Car,No,0,21.0,Highly Urban/ Urban,0,1.0
136,No,34,3,Pickup,No,2,18.0,Highly Urban/ Urban,2,1.0
137,Yes,53,5,Sports Car,Yes,0,6.0,Highly Rural/ Rural,0,1.0
138,No,44,6,Minivan,Yes,0,11.0,Highly Urban/ Urban,0,1.0
139,Yes,21,6,Pickup,No,0,17.0,Highly Urban/ Urban,0,1.0
140,Yes,14,1,Minivan,No,4,17.0,Highly Urban/ Urban,0,1.0
141,Yes,36,7,SUV,No,0,1.0,Highly Urban/ Urban,3,0.882
142,Yes,10,1,Pickup,No,1,1.0,Highly Urban/ Urban,7,1.0
143,Yes,29,1,SUV,No,0,10.0,Highly Urban/ Urban,0,1.0
144,Yes,24,9,Pickup,No,1,1.0,Highly Urban/ Urban,0,1.0
145,Yes,26,18,Minivan,No,3,9.0,Highly Urban/ Urban,0,1.0
146,Yes,21,1,Van,No,2,14.0,Highly Urban/ Urban,1,0.087
147,No,5,4,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
148,No,5,1,Minivan,No,0,1.0,Highly Rural/ Rural,0,1.0
149,Yes,40,4,Panel Truck,No,0,11.0,Highly Urban/ Urban,0,0.288
150,Yes,68,4,SUV,No,1,1.0,Highly Rural/ Rural,0,1.0
151,Yes,49,1,Minivan,No,0,16.0,Highly Rural/ Rural,0,1.0
152,No,40,13,SUV,No,0,7.0,Highly Urban/ Urban,0,1.0
153,No,37,7,SUV,No,4,9.0,Highly Urban/ Urban,0,1.0
154,Yes,35,1,Van,No,3,4.0,Highly Urban/ Urban,0,0.54
155,Yes,12,1,Minivan,No,1,,Highly Urban/ Urban,0,0.453
156,Yes,5,4,Pickup,No,4,9.0,Highly Urban/ Urban,0,0.033
157,No,52,4,SUV,Yes,0,,Highly Urban/ Urban,3,1.0
158,No,54,3,SUV,No,0,15.0,Highly Urban/ Urban,0,1.0
159,No,47,11,Pickup,No,5,1.0,Highly Urban/ Urban,3,0.864
160,No,38,1,SUV,No,0,1.0,Highly Rural/ Rural,0,1.0
161,Yes,24,7,Minivan,No,0,14.0,Highly Urban/ Urban,0,1.0
162,Yes,11,13,Van,No,0,7.0,Highly Urban/ Urban,0,1.0
163,No,32,1,Pickup,Yes,0,1.0,Highly Urban/ Urban,0,1.0
164,Yes,43,4,Sports Car,No,0,16.0,Highly Rural/ Rural,0,0.825
165,Yes,60,1,Minivan,No,4,8.0,Highly Urban/ Urban,0,1.0
166,No,35,1,SUV,No,4,20.0,Highly Urban/ Urban,4,0.18
167,Yes,28,4,Pickup,Yes,4,1.0,Highly Urban/ Urban,2,0.363
168,Yes,50,12,Sports Car,No,5,1.0,Highly Urban/ Urban,0,1.0
169,Yes,40,6,SUV,No,0,15.0,Highly Urban/ Urban,1,0.888
170,No,33,4,Pickup,No,0,1.0,Highly Rural/ Rural,0,1.0
171,No,36,10,SUV,No,6,10.0,Highly Urban/ Urban,0,1.0
172,Yes,49,7,Sports Car,No,1,13.0,Highly Urban/ Urban,0,1.0
173,Yes,5,4,Pickup,No,0,17.0,Highly Urban/ Urban,0,1.0
174,Yes,29,6,Pickup,No,1,12.0,Highly Urban/ Urban,0,1.0
175,Yes,31,7,Pickup,No,6,18.0,Highly Urban/ Urban,0,1.0
176,No,16,4,Minivan,No,3,14.0,Highly Urban/ Urban,0,1.0
177,Yes,24,11,Pickup,No,1,1.0,Highly Urban/ Urban,0,1.0
178,No,26,7,SUV,No,7,14.0,Highly Urban/ Urban,0,1.0
179,No,35,7,Pickup,No,0,7.0,Highly Urban/ Urban,0,1.0
180,Yes,29,7,SUV,No,1,1.0,Highly Urban/ Urban,0,1.0
181,Yes,39,10,Minivan,No,0,1.0,Highly Urban/ Urban,0,0.264
182,No,37,4,Van,No,0,,Highly Urban/ Urban,0,1.0
183,No,16,10,SUV,No,2,7.0,Highly Urban/ Urban,0,0.519
184,Yes,45,4,Panel Truck,No,0,14.0,Highly Rural/ Rural,0,1.0
185,Yes,30,7,SUV,No,8,1.0,Highly Urban/ Urban,0,1.0
186,No,21,8,Minivan,No,0,8.0,Highly Urban/ Urban,0,1.0
187,Yes,21,1,SUV,No,0,10.0,Highly Urban/ Urban,0,1.0
188,Yes,14,13,Minivan,No,2,10.0,Highly Urban/ Urban,0,1.0
189,Yes,48,10,Pickup,No,6,1.0,Highly Urban/ Urban,0,1.0
190,No,69,1,Minivan,No,1,,Highly Rural/ Rural,0,1.0
191,No,52,6,Sports Car,No,0,1.0,Highly Rural/ Rural,0,1.0
192,Yes,37,10,Pickup,No,2,16.0,Highly Urban/ Urban,3,1.0
193,No,31,4,Minivan,No,0,18.0,Highly Urban/ Urban,0,1.0
194,Yes,43,6,SUV,Yes,4,1.0,Highly Urban/ Urban,0,1.0
195,No,45,1,Sports Car,No,0,17.0,Highly Urban/ Urban,5,0.423
196,Yes,55,6,Minivan,No,5,4.0,Highly Urban/ Urban,0,1.0
197,No,9,7,Van,No,0,1.0,Highly Rural/ Rural,0,1.0
198,No,28,6,Sports Car,No,0,11.0,Highly Rural/ Rural,0,1.0
199,No,17,1,Panel Truck,No,3,1.0,Highly Rural/ Rural,0,1.0
200,Yes,37,10,Sports Car,No,4,7.0,Highly Urban/ Urban,0,1.0
201,Yes,29,13,SUV,No,0,9.0,Highly Urban/ Urban,0,1.0
202,Yes,34,10,Sports Car,No,2,7.0,Highly Rural/ Rural,0,1.0
203,No,12,6,SUV,No,0,7.0,Highly Urban/ Urban,4,1.0
204,Yes,31,13,SUV,No,0,9.0,Highly Rural/ Rural,0,0.432
205,No,36,4,Minivan,Yes,0,1.0,Highly Urban/ Urban,4,1.0
206,Yes,73,10,Sports Car,No,0,9.0,Highly Rural/ Rural,0,1.0
207,Yes,49,10,Minivan,No,1,5.0,Highly Urban/ Urban,0,1.0
208,No,21,6,SUV,No,6,9.0,Highly Urban/ Urban,0,0.912
209,Yes,44,10,Panel Truck,No,3,19.0,Highly Urban/ Urban,0,1.0
210,Yes,37,1,Sports Car,No,3,1.0,Highly Rural/ Rural,0,1.0
211,No,38,7,Van,No,2,19.0,Highly Rural/ Rural,0,1.0
212,No,24,7,Sports Car,No,5,1.0,Highly Urban/ Urban,6,1.0
213,Yes,36,4,SUV,No,3,5.0,Highly Urban/ Urban,1,1.0
214,Yes,59,14,Minivan,No,0,,Highly Urban/ Urban,0,1.0
215,Yes,45,7,Pickup,No,0,6.0,Highly Urban/ Urban,0,1.0
216,Yes,41,9,Minivan,No,0,13.0,Highly Rural/ Rural,0,1.0
217,Yes,7,6,SUV,No,5,,Highly Urban/ Urban,0,0.795
218,Yes,42,7,Pickup,No,0,1.0,Highly Rural/ Rural,0,0.594
219,Yes,38,4,Minivan,No,0,15.0,Highly Rural/ Rural,0,1.0
220,No,48,13,Pickup,No,0,1.0,Highly Urban/ Urban,4,1.0
221,No,41,13,Sports Car,Yes,0,7.0,Highly Urban/ Urban,2,0.477
222,Yes,51,4,Pickup,No,0,10.0,Highly Urban/ Urban,0,1.0
223,No,18,6,Minivan,No,0,17.0,Highly Rural/ Rural,0,1.0
224,Yes,54,4,SUV,No,5,10.0,Highly Urban/ Urban,5,1.0
225,Yes,35,7,SUV,No,0,10.0,Highly Urban/ Urban,0,1.0
226,Yes,18,1,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
227,Yes,46,1,Van,Yes,2,10.0,Highly Urban/ Urban,2,1.0
228,No,25,1,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
229,No,43,8,Pickup,No,0,6.0,Highly Rural/ Rural,0,1.0
230,Yes,10,10,SUV,No,0,1.0,Highly Rural/ Rural,0,1.0
231,Yes,25,10,Pickup,No,0,8.0,Highly Urban/ Urban,0,1.0
232,Yes,27,1,Van,No,0,1.0,Highly Urban/ Urban,0,0.708
233,Yes,44,3,Sports Car,No,0,1.0,Highly Urban/ Urban,0,0.987
234,No,37,1,Panel Truck,Yes,0,20.0,Highly Urban/ Urban,4,1.0
235,No,55,1,SUV,No,0,6.0,Highly Urban/ Urban,0,1.0
236,Yes,32,13,Minivan,Yes,3,1.0,Highly Urban/ Urban,0,1.0
237,Yes,31,1,SUV,No,0,7.0,Highly Urban/ Urban,1,1.0
238,No,34,4,Panel Truck,No,3,14.0,Highly Urban/ Urban,0,0.813
239,Yes,58,3,SUV,No,0,5.0,Highly Rural/ Rural,4,0.708
240,No,9,4,SUV,Yes,0,8.0,Highly Urban/ Urban,3,0.24
241,No,40,1,SUV,No,2,14.0,Highly Urban/ Urban,4,0.153
242,Yes,23,10,Pickup,No,0,23.0,Highly Urban/ Urban,0,1.0
243,No,40,17,Van,No,0,18.0,Highly Urban/ Urban,0,0.471
244,No,39,7,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
245,Yes,39,3,SUV,No,0,17.0,Highly Urban/ Urban,0,1.0
246,No,43,1,Van,No,1,13.0,Highly Urban/ Urban,0,1.0
247,Yes,40,1,Minivan,No,0,7.0,Highly Urban/ Urban,0,0.282
248,No,29,11,Sports Car,No,5,8.0,Highly Urban/ Urban,0,1.0
249,No,47,10,Pickup,No,2,17.0,Highly Urban/ Urban,0,1.0
250,No,22,13,Pickup,No,0,8.0,Highly Rural/ Rural,0,1.0
251,No,55,7,Minivan,No,1,1.0,Highly Rural/ Rural,0,1.0
252,Yes,14,1,Sports Car,No,0,1.0,Highly Urban/ Urban,0,1.0
253,Yes,35,6,SUV,No,5,17.0,Highly Urban/ Urban,0,0.234
254,No,26,13,Pickup,No,0,16.0,Highly Urban/ Urban,4,1.0
255,Yes,5,4,Pickup,No,0,15.0,Highly Urban/ Urban,0,0.561
256,Yes,12,3,SUV,No,0,,Highly Urban/ Urban,0,0.369
257,Yes,32,6,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
258,No,38,4,Minivan,No,6,5.0,Highly Rural/ Rural,0,1.0
259,Yes,5,4,Pickup,No,0,,Highly Urban/ Urban,4,0.498
260,No,81,17,Minivan,No,1,5.0,Highly Rural/ Rural,0,1.0
261,No,61,3,Minivan,No,1,12.0,Highly Urban/ Urban,0,1.0
262,Yes,19,4,SUV,No,0,10.0,Highly Urban/ Urban,0,0.768
263,Yes,41,1,Minivan,No,2,9.0,Highly Urban/ Urban,0,1.0
264,No,40,17,SUV,No,3,9.0,Highly Urban/ Urban,0,0.015
265,Yes,30,10,Minivan,No,0,8.0,Highly Urban/ Urban,0,1.0
266,No,57,1,Minivan,No,0,4.0,Highly Rural/ Rural,0,0.318
267,No,32,6,SUV,No,0,7.0,Highly Urban/ Urban,0,0.033
268,Yes,5,10,Pickup,No,0,1.0,Highly Rural/ Rural,0,1.0
269,No,6,6,Van,Yes,0,12.0,Highly Urban/ Urban,4,1.0
270,No,46,6,SUV,Yes,2,6.0,Highly Rural/ Rural,0,1.0
271,No,5,6,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
272,No,83,3,SUV,No,0,9.0,Highly Urban/ Urban,3,0.567
273,No,56,10,SUV,No,0,13.0,Highly Urban/ Urban,0,1.0
274,Yes,51,10,Sports Car,No,0,12.0,Highly Urban/ Urban,0,1.0
275,Yes,9,4,Minivan,No,1,15.0,Highly Urban/ Urban,0,1.0
276,Yes,28,4,Panel Truck,No,1,1.0,Highly Urban/ Urban,0,1.0
277,Yes,27,1,Minivan,No,1,11.0,Highly Urban/ Urban,0,0.87
278,Yes,44,4,Pickup,Yes,3,8.0,Highly Urban/ Urban,2,1.0
279,No,17,4,Pickup,No,7,11.0,Highly Urban/ Urban,0,0.528
280,Yes,29,1,Pickup,No,7,1.0,Highly Urban/ Urban,3,1.0
281,Yes,43,14,Van,No,0,13.0,Highly Urban/ Urban,0,1.0
282,No,68,7,Minivan,No,8,1.0,Highly Urban/ Urban,3,0.264
283,No,13,6,Minivan,No,0,8.0,Highly Urban/ Urban,0,1.0
284,Yes,34,4,Sports Car,Yes,0,14.0,Highly Urban/ Urban,0,1.0
285,No,19,1,Pickup,No,0,4.0,Highly Rural/ Rural,0,1.0
286,Yes,42,7,Sports Car,No,0,8.0,Highly Urban/ Urban,0,1.0
287,No,29,6,Minivan,No,1,12.0,Highly Urban/ Urban,0,0.936
288,Yes,40,1,Van,No,3,,Highly Urban/ Urban,3,0.732
289,Yes,41,1,Sports Car,No,8,9.0,Highly Urban/ Urban,1,0.192
290,No,75,4,Minivan,No,2,20.0,Highly Urban/ Urban,4,0.825
291,Yes,43,11,SUV,No,0,17.0,Highly Rural/ Rural,0,0.897
292,No,30,4,Panel Truck,No,1,11.0,Highly Urban/ Urban,3,0.585
293,Yes,43,1,Pickup,No,5,6.0,Highly Rural/ Rural,0,1.0
294,No,33,11,Minivan,No,0,3.0,Highly Urban/ Urban,0,0.462
295,No,21,9,Sports Car,No,4,5.0,Highly Urban/ Urban,2,1.0
296,No,5,6,Minivan,Yes,2,18.0,Highly Urban/ Urban,0,1.0
297,Yes,28,3,SUV,No,5,1.0,Highly Urban/ Urban,0,1.0
298,No,18,6,SUV,No,0,17.0,Highly Urban/ Urban,0,0.894
299,No,27,4,Panel Truck,No,4,20.0,Highly Urban/ Urban,0,1.0
300,No,30,1,SUV,Yes,0,,Highly Urban/ Urban,0,0.042
301,No,18,1,SUV,No,6,14.0,Highly Urban/ Urban,0,1.0
302,Yes,33,1,Pickup,No,0,14.0,Highly Urban/ Urban,3,1.0
303,No,27,6,SUV,No,3,1.0,Highly Urban/ Urban,0,1.0
304,Yes,63,4,Minivan,No,1,14.0,Highly Urban/ Urban,2,0.237
305,Yes,63,13,Sports Car,Yes,2,11.0,Highly Urban/ Urban,4,0.774
306,Yes,40,1,SUV,Yes,9,9.0,Highly Urban/ Urban,0,0.891
307,Yes,34,1,SUV,Yes,1,1.0,Highly Urban/ Urban,0,1.0
308,No,19,4,SUV,No,0,1.0,Highly Urban/ Urban,1,0.345
309,No,43,1,Panel Truck,No,4,,Highly Urban/ Urban,0,0.204
310,Yes,28,4,Sports Car,Yes,2,8.0,Highly Urban/ Urban,0,1.0
311,Yes,28,3,SUV,No,0,10.0,Highly Urban/ Urban,0,0.909
312,No,49,1,SUV,Yes,1,10.0,Highly Urban/ Urban,0,1.0
313,Yes,32,1,SUV,No,3,8.0,Highly Rural/ Rural,0,1.0
314,Yes,84,17,Sports Car,Yes,0,10.0,Highly Rural/ Rural,0,1.0
315,No,45,1,Minivan,No,3,12.0,Highly Urban/ Urban,7,0.048
316,No,34,1,Pickup,No,5,1.0,Highly Rural/ Rural,3,0.636
317,Yes,51,1,Panel Truck,No,4,18.0,Highly Urban/ Urban,2,0.24
318,Yes,23,4,SUV,No,0,14.0,Highly Rural/ Rural,0,1.0
319,Yes,17,4,SUV,No,1,10.0,Highly Urban/ Urban,0,1.0
320,Yes,30,13,SUV,No,0,9.0,Highly Urban/ Urban,0,1.0
321,Yes,32,6,Minivan,No,0,1.0,Highly Rural/ Rural,0,1.0
322,No,44,1,SUV,No,8,1.0,Highly Urban/ Urban,4,1.0
323,No,5,1,Van,No,1,21.0,Highly Urban/ Urban,4,1.0
324,No,45,1,Minivan,No,2,10.0,Highly Urban/ Urban,0,1.0
325,No,25,1,Sports Car,No,4,1.0,Highly Urban/ Urban,5,1.0
326,No,33,1,Pickup,Yes,3,1.0,Highly Urban/ Urban,4,0.897
327,No,34,6,SUV,No,0,9.0,Highly Urban/ Urban,0,1.0
328,Yes,30,7,Pickup,No,2,17.0,Highly Urban/ Urban,0,1.0
329,No,44,6,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
330,No,23,4,Minivan,No,6,8.0,Highly Urban/ Urban,0,1.0
331,No,43,4,Minivan,No,1,10.0,Highly Rural/ Rural,0,1.0
332,No,28,4,Pickup,No,0,1.0,Highly Rural/ Rural,0,1.0
333,No,16,1,Minivan,No,6,5.0,Highly Urban/ Urban,0,1.0
334,Yes,50,6,Sports Car,No,1,18.0,Highly Urban/ Urban,1,0.24
335,Yes,11,10,Pickup,No,0,0.0,Highly Urban/ Urban,0,1.0
336,No,24,4,Van,No,0,13.0,Highly Urban/ Urban,0,1.0
337,Yes,36,13,Pickup,No,2,19.0,Highly Urban/ Urban,0,1.0
338,Yes,39,10,Minivan,No,0,5.0,Highly Rural/ Rural,0,1.0
339,Yes,33,1,Minivan,No,4,5.0,Highly Urban/ Urban,4,0.432
340,Yes,68,10,SUV,No,0,10.0,Highly Urban/ Urban,0,1.0
341,Yes,26,4,Sports Car,Yes,0,15.0,Highly Urban/ Urban,3,0.27
342,Yes,29,6,Minivan,No,0,7.0,Highly Urban/ Urban,0,1.0
343,No,22,3,SUV,No,4,1.0,Highly Urban/ Urban,0,1.0
344,Yes,5,1,Pickup,No,7,6.0,Highly Urban/ Urban,0,1.0
345,No,46,1,Panel Truck,No,6,19.0,Highly Urban/ Urban,0,1.0
