policy,primary_age_tier,primary_gender,marital,residence_location,aoi_tier,exposure,num_claims,amt_claims
P05639,38 - 60,Male,Married,Suburban,601K - 1M,1,0,0.00
P05045,21 - 27,Male,Un-Married,Suburban,351K - 600K,1,0,0.00
G04919,21 - 27,Female,Married,Rural,100K - 350K,1,1,"5,719.76"
Z09137,21 - 27,Male,Married,Urban,> 1M,1,0,0.00
A00737,28 - 37,Female,Un-Married,Urban,351K - 600K,1,4,"1,799.80"
Z09278,38 - 60,Female,Married,Urban,351K - 600K,0.72,1,"1,387.28"
Z08411,> 60,Male,Un-Married,Urban,> 1M,1,0,0.00
A02189,< 21,Female,Un-Married,Urban,351K - 600K,0.19,3,"14,305.61"
G04253,21 - 27,Male,Married,Suburban,< 100K,1,6,"50,980.73"
Z08467,21 - 27,Female,Married,Suburban,< 100K,1,3,"1,058.76"
A02212,38 - 60,Female,Married,Urban,601K - 1M,1,1,"1,205.72"
Z09459,28 - 37,Female,Married,Suburban,351K - 600K,0.9,2,"13,748.59"
P06887,21 - 27,Female,Married,Urban,100K - 350K,1,1,"4,402.79"
P06002,< 21,Female,Not Married,Urban,351K - 600K,1,1,"6,500.93"
Z09665,> 60,Female,Not Married,Urban,351K - 600K,0.02,4,"9,834.25"
Z09705,38 - 60,Male,Not Married,Urban,601K - 1M,1,1,"2,742.90"
G04001,< 21,Male,Married,Suburban,100K - 350K,1,1,"2,628.33"
P06463,21 - 27,Female,Not Married,Suburban,100K - 350K,1,2,"5,916.08"
G04124,38 - 60,Male,Not Married,Urban,351K - 600K,0.78,1,"2,853.83"
Z08891,28 - 37,Female,Married,Suburban,601K - 1M,1,2,"10,672.56"
P05660,28 - 37,Male,Married,Suburban,351K - 600K,1,1,"1,792.42"
A00441,28 - 37,Male,Married,Suburban,351K - 600K,1,3,"6,521.55"
P07088,38 - 60,Male,Married,Suburban,< 100K,0.43,0,0.00
Z07930,21 - 27,Female,Un-Married,Rural,100K - 350K,1,1,"9,007.64"
P05165,21 - 27,Female,Married,Suburban,100K - 350K,0.38,2,"3,492.77"
P06512,28 - 37,Female,Married,Urban,> 1M,1,0,0.00
P06563,< 21,Male,Un-Married,Suburban,< 100K,0.7,4,867.44
P06667,21 - 27,Female,Un-Married,Suburban,351K - 600K,0.12,0,0.00
G04122,28 - 37,Female,Not Married,Suburban,100K - 350K,1,1,"3,773.65"
Z08801,38 - 60,Female,Married,Urban,100K - 350K,0.41,1,"11,472.07"
G03349,28 - 37,Male,Married,Suburban,100K - 350K,0.76,4,"4,773.84"
Z09378,21 - 27,Male,Not Married,Suburban,601K - 1M,1,2,"4,857.83"
A00659,> 60,Male,Un-Married,Suburban,100K - 350K,1,3,"3,337.71"
Z09112,28 - 37,Female,Married,Urban,351K - 600K,1,1,"8,819.24"
G04091,28 - 37,Female,Not Married,Urban,100K - 350K,1,2,"6,697.80"
P05021,21 - 27,Female,Un-Married,Rural,100K - 350K,1,0,0.00
P06439,28 - 37,Male,Married,Urban,351K - 600K,1,1,"7,281.96"
P07237,< 21,Female,Married,Urban,601K - 1M,1,2,"3,529.96"
P05098,21 - 27,Male,Not Married,Suburban,< 100K,1,2,"4,953.29"
P05262,21 - 27,Male,Married,Rural,351K - 600K,1,2,"2,806.33"
G03167,21 - 27,Male,Un-Married,Urban,351K - 600K,1,1,"3,569.79"
Z09561,28 - 37,Female,Un-Married,Urban,351K - 600K,1,2,"16,083.37"
P06086,38 - 60,Female,Un-Married,Urban,351K - 600K,0.07,0,0.00
P06813,21 - 27,Female,Not Married,Urban,351K - 600K,1,1,"1,360.12"
Z08437,38 - 60,Male,Married,Urban,100K - 350K,0.41,0,0.00
G04557,< 21,Male,Married,Urban,351K - 600K,0.85,3,"13,012.59"
G04592,38 - 60,Male,Not Married,Suburban,100K - 350K,1,1,786.23
Z08320,21 - 27,Female,Married,Suburban,100K - 350K,1,2,"14,157.77"
Z08739,< 21,Male,Not Married,Urban,351K - 600K,1,0,0.00
G02527,28 - 37,Male,Not Married,Urban,< 100K,1,2,"11,561.21"
A00223,38 - 60,Female,Un-Married,Urban,351K - 600K,1,2,"5,995.14"
Z07636,21 - 27,Female,Married,Suburban,601K - 1M,1,0,0.00
P06270,38 - 60,Male,Un-Married,Urban,351K - 600K,0.55,2,"4,947.47"
A01518,38 - 60,Male,Married,Urban,351K - 600K,1,0,0.00
A00278,< 21,Male,Married,Rural,601K - 1M,1,1,"4,638.58"
P05420,28 - 37,Female,Not Married,Urban,601K - 1M,1,4,"7,883.18"
Z09339,38 - 60,Female,Not Married,Urban,351K - 600K,1,1,"3,485.75"
A01798,21 - 27,Male,Married,Urban,351K - 600K,1,1,"11,095.84"
A01691,> 60,Female,Not Married,Urban,351K - 600K,1,1,894.24
P07473,> 60,Female,Married,Urban,100K - 350K,1,1,"6,159.87"
A00669,38 - 60,Male,Not Married,Urban,351K - 600K,1,1,"2,973.71"
Z08816,> 60,Female,Un-Married,Urban,< 100K,1,4,"2,694.01"
P05603,28 - 37,Female,Un-Married,Urban,351K - 600K,1,0,0.00
G04058,> 60,Male,Not Married,Suburban,351K - 600K,1,3,"2,103.16"
A00076,28 - 37,Male,Un-Married,Rural,100K - 350K,0.21,0,0.00
A00534,28 - 37,Female,Un-Married,Urban,< 100K,1,1,"8,163.73"
Z09613,28 - 37,Male,Married,Urban,351K - 600K,1,3,"5,945.57"
P06738,21 - 27,Female,Married,Suburban,< 100K,1,1,"2,904.42"
G04199,< 21,Male,Married,Suburban,601K - 1M,1,6,"10,073.27"
G02552,> 60,Female,Not Married,Urban,351K - 600K,1,0,0.00
P06763,38 - 60,Female,Un-Married,Suburban,351K - 600K,0.12,0,0.00
A01326,21 - 27,Female,Married,Suburban,601K - 1M,1,1,525.16
P05679,38 - 60,Female,Married,Suburban,601K - 1M,1,2,"2,569.05"
P06708,21 - 27,Female,Un-Married,Urban,351K - 600K,1,0,0.00
A01433,> 60,Female,Married,Suburban,351K - 600K,1,5,"13,125.33"
G03668,28 - 37,Female,Not Married,Urban,601K - 1M,1,0,0.00
G04544,28 - 37,Male,Not Married,Suburban,100K - 350K,1,0,0.00
G03618,21 - 27,Female,Un-Married,Suburban,351K - 600K,1,0,0.00
Z07754,> 60,Female,Married,Urban,351K - 600K,0.24,1,"3,226.33"
Z09258,> 60,Female,Un-Married,Suburban,351K - 600K,1,3,"5,425.92"
A00133,28 - 37,Female,Married,Suburban,601K - 1M,1,1,"1,221.54"
G02804,38 - 60,Female,Married,Urban,351K - 600K,0.93,1,"1,481.83"
P05150,< 21,Male,Married,Urban,351K - 600K,1,2,"1,133.41"
Z09073,> 60,Male,Married,Urban,351K - 600K,1,3,"3,752.61"
A00732,< 21,Female,Married,Suburban,> 1M,1,2,"3,475.69"
P06274,21 - 27,Female,Married,Suburban,100K - 350K,1,1,"2,280.10"
P06359,38 - 60,Female,Married,Urban,601K - 1M,1,1,"7,114.98"
A02497,28 - 37,Male,Married,Rural,351K - 600K,1,0,0.00
G03065,21 - 27,Female,Un-Married,Suburban,351K - 600K,1,2,"8,917.42"
G02896,< 21,Female,Un-Married,Urban,< 100K,1,4,"12,330.00"
A02129,28 - 37,Female,Un-Married,Urban,100K - 350K,1,1,"2,588.07"
P05766,38 - 60,Female,Not Married,Rural,351K - 600K,1,0,0.00
P07453,< 21,Female,Un-Married,Suburban,601K - 1M,0.22,2,"3,972.63"
P05651,28 - 37,Male,Not Married,Suburban,> 1M,1,2,"3,990.60"
A02282,21 - 27,Female,Married,Suburban,351K - 600K,1,3,"12,476.86"
A01502,21 - 27,Female,Not Married,Suburban,351K - 600K,1,2,"11,738.94"
G02758,< 21,Male,Married,Suburban,351K - 600K,1,5,"5,577.69"
A01182,> 60,Female,Un-Married,Suburban,351K - 600K,1,1,"3,621.94"
P05999,< 21,Male,Un-Married,Urban,100K - 350K,0.95,3,"12,164.17"
Z08120,28 - 37,Male,Married,Rural,100K - 350K,1,1,"3,238.86"
P05609,21 - 27,Male,Married,Suburban,351K - 600K,1,2,"3,765.31"
A01134,21 - 27,Female,Married,Urban,100K - 350K,1,1,"2,820.27"
G03504,21 - 27,Male,Married,Urban,100K - 350K,0.03,1,894.67
A02151,21 - 27,Male,Not Married,Urban,601K - 1M,1,1,"2,984.63"
G02640,21 - 27,Male,Un-Married,Urban,601K - 1M,1,1,"6,036.91"
G03955,28 - 37,Male,Un-Married,Suburban,100K - 350K,1,4,"13,955.41"
A02430,< 21,Male,Married,Urban,100K - 350K,1,2,"1,623.25"
A01031,21 - 27,Female,Married,Suburban,100K - 350K,1,2,"4,024.37"
G03849,28 - 37,Female,Un-Married,Urban,351K - 600K,1,0,0.00
Z08459,28 - 37,Male,Married,Urban,601K - 1M,1,1,251.39
Z08245,28 - 37,Male,Un-Married,Rural,351K - 600K,1,0,0.00
A02281,< 21,Female,Un-Married,Urban,351K - 600K,1,1,"2,508.12"
A00245,38 - 60,Female,Not Married,Suburban,< 100K,1,1,"5,475.82"
P05451,28 - 37,Female,Not Married,Urban,100K - 350K,1,1,"2,808.82"
A01946,< 21,Female,Married,Suburban,601K - 1M,1,1,"2,325.83"
A01217,28 - 37,Male,Married,Urban,351K - 600K,1,0,0.00
P06203,38 - 60,Female,Un-Married,Urban,100K - 350K,1,0,0.00
A02184,28 - 37,Male,Un-Married,Suburban,100K - 350K,1,3,"7,061.56"
G03289,< 21,Female,Not Married,Urban,100K - 350K,1,2,"2,830.10"
P07298,21 - 27,Female,Married,Urban,351K - 600K,1,1,755.64
P07063,28 - 37,Male,Married,Urban,100K - 350K,1,1,"10,000.59"
Z09838,21 - 27,Male,Un-Married,Urban,> 1M,1,1,"2,303.48"
Z07820,38 - 60,Female,Un-Married,Suburban,351K - 600K,0.43,3,"18,178.01"
Z07686,28 - 37,Female,Un-Married,Suburban,100K - 350K,1,2,"4,189.86"
P05870,28 - 37,Female,Un-Married,Suburban,100K - 350K,1,1,976.59
A00275,38 - 60,Male,Un-Married,Suburban,100K - 350K,0.76,0,0.00
G03178,28 - 37,Male,Married,Suburban,601K - 1M,1,2,"5,405.43"
P07374,21 - 27,Female,Un-Married,Urban,351K - 600K,0.92,5,"16,183.17"
P05008,28 - 37,Female,Un-Married,Urban,601K - 1M,1,0,0.00
Z08207,21 - 27,Female,Married,Suburban,< 100K,1,2,"1,579.82"
G02802,< 21,Female,Not Married,Rural,> 1M,1,0,0.00
G02590,28 - 37,Female,Married,Suburban,< 100K,1,0,0.00
Z08096,28 - 37,Female,Not Married,Urban,100K - 350K,1,2,"16,553.83"
P05425,28 - 37,Female,Not Married,Suburban,601K - 1M,1,2,"4,678.65"
A00580,38 - 60,Male,Married,Urban,> 1M,1,0,0.00
P05962,21 - 27,Female,Not Married,Suburban,601K - 1M,1,2,"2,600.63"
P05160,28 - 37,Female,Married,Urban,351K - 600K,1,0,0.00
A01086,28 - 37,Male,Un-Married,Urban,100K - 350K,1,2,"6,741.23"
P06674,38 - 60,Male,Married,Urban,601K - 1M,1,1,"3,653.59"
P07124,> 60,Male,Married,Urban,601K - 1M,1,2,"7,333.68"
P05228,21 - 27,Female,Married,Suburban,< 100K,1,3,"6,453.77"
G04019,> 60,Male,Un-Married,Suburban,351K - 600K,1,5,"8,317.25"
G03131,38 - 60,Male,Un-Married,Urban,351K - 600K,1,1,"7,789.72"
G02760,> 60,Male,Not Married,Suburban,601K - 1M,1,4,"7,485.30"
P06225,> 60,Female,Married,Urban,100K - 350K,0.19,2,"7,184.50"
G03145,< 21,Female,Not Married,Suburban,100K - 350K,1,2,"12,464.78"
G02629,38 - 60,Male,Married,Suburban,351K - 600K,0.6,3,"6,396.32"
G04815,28 - 37,Female,Married,Urban,100K - 350K,1,2,"1,623.85"
A01752,> 60,Female,Not Married,Urban,100K - 350K,1,2,"5,589.77"
A00255,21 - 27,Female,Un-Married,Rural,351K - 600K,1,2,"2,279.74"
G03315,21 - 27,Female,Married,Urban,100K - 350K,1,1,"6,927.50"
P05339,38 - 60,Female,Married,Suburban,351K - 600K,1,2,"8,281.11"
G03886,38 - 60,Female,Not Married,Urban,351K - 600K,1,1,"3,375.57"
A02073,> 60,Female,Married,Suburban,100K - 350K,0.61,2,"8,937.45"
Z08935,21 - 27,Female,Married,Suburban,351K - 600K,0.32,0,0.00
A01319,> 60,Male,Not Married,Urban,< 100K,0.92,0,0.00
Z08127,21 - 27,Male,Married,Suburban,< 100K,1,3,"14,187.85"
A00629,< 21,Female,Married,Urban,351K - 600K,0.22,3,"12,426.48"
G03309,< 21,Female,Married,Urban,351K - 600K,1,1,"1,347.16"
G04438,< 21,Female,Married,Urban,100K - 350K,0.5,0,0.00
G03839,38 - 60,Female,Not Married,Urban,601K - 1M,1,0,0.00
Z09711,28 - 37,Male,Un-Married,Suburban,351K - 600K,1,4,"9,866.46"
A01128,28 - 37,Male,Married,Suburban,601K - 1M,1,1,513.11
P05024,< 21,Male,Un-Married,Suburban,351K - 600K,1,2,"1,381.88"
Z07936,28 - 37,Female,Un-Married,Urban,< 100K,1,0,0.00
A02017,> 60,Female,Married,Suburban,601K - 1M,1,0,0.00
A01544,21 - 27,Male,Not Married,Suburban,351K - 600K,1,2,"1,123.53"
P06896,> 60,Female,Un-Married,Urban,< 100K,1,2,"13,355.41"
Z08478,21 - 27,Male,Not Married,Suburban,351K - 600K,1,1,"1,935.48"
A01709,28 - 37,Male,Married,Urban,100K - 350K,1,1,"3,748.82"
G03037,38 - 60,Male,Married,Suburban,351K - 600K,1,4,"6,991.13"
Z09607,21 - 27,Female,Un-Married,Urban,< 100K,1,0,0.00
Z08204,38 - 60,Female,Married,Suburban,100K - 350K,1,2,"10,485.21"
P05501,38 - 60,Male,Un-Married,Suburban,< 100K,0.43,0,0.00
G02614,38 - 60,Male,Married,Urban,< 100K,1,1,"9,077.29"
Z08955,21 - 27,Female,Married,Urban,> 1M,1,0,0.00
A00795,28 - 37,Female,Married,Suburban,100K - 350K,1,1,"5,849.38"
Z08718,38 - 60,Female,Un-Married,Suburban,100K - 350K,0.3,1,"4,230.98"
G03752,38 - 60,Female,Not Married,Suburban,351K - 600K,1,3,"8,940.20"
P05004,< 21,Female,Married,Suburban,351K - 600K,1,3,"9,954.47"
G02779,21 - 27,Male,Un-Married,Suburban,351K - 600K,1,2,"1,577.60"
P07120,21 - 27,Male,Married,Suburban,351K - 600K,1,3,"7,199.20"
G03033,21 - 27,Female,Married,Urban,351K - 600K,1,1,"1,316.11"
G04497,28 - 37,Male,Married,Suburban,< 100K,0.67,4,"1,321.04"
P05220,38 - 60,Male,Un-Married,Urban,100K - 350K,1,0,0.00
Z08748,38 - 60,Male,Married,Suburban,351K - 600K,1,1,143.69
G03445,28 - 37,Male,Married,Suburban,351K - 600K,1,0,0.00
G02707,38 - 60,Female,Un-Married,Suburban,100K - 350K,1,3,"2,783.60"
G03439,28 - 37,Male,Not Married,Urban,100K - 350K,0.65,1,"2,827.10"
P05422,38 - 60,Female,Married,Suburban,601K - 1M,1,4,"5,206.22"
P05682,21 - 27,Male,Married,Urban,351K - 600K,0.48,0,0.00
A01514,21 - 27,Male,Not Married,Urban,351K - 600K,1,2,"13,213.90"
Z09791,> 60,Female,Not Married,Urban,351K - 600K,1,1,"1,388.88"
Z08425,21 - 27,Female,Married,Rural,> 1M,1,0,0.00
A00737,38 - 60,Female,Not Married,Urban,601K - 1M,0.08,0,0.00
A01963,21 - 27,Male,Not Married,Suburban,601K - 1M,0.21,1,"2,318.34"
G02649,< 21,Male,Married,Suburban,601K - 1M,1,3,"4,172.96"
P05663,21 - 27,Female,Un-Married,Urban,601K - 1M,1,1,"4,126.11"
A00798,28 - 37,Female,Married,Suburban,351K - 600K,1,0,0.00
P05425,28 - 37,Female,Married,Urban,351K - 600K,1,0,0.00
P06703,21 - 27,Female,Un-Married,Suburban,351K - 600K,1,1,"2,591.65"
P07002,38 - 60,Female,Married,Urban,351K - 600K,1,0,0.00
G04847,28 - 37,Male,Un-Married,Suburban,100K - 350K,1,1,"1,651.20"
P05130,21 - 27,Male,Un-Married,Suburban,601K - 1M,1,2,855.77
P06555,28 - 37,Male,Not Married,Urban,601K - 1M,0.79,2,"7,280.36"
Z08711,28 - 37,Female,Married,Suburban,351K - 600K,1,0,0.00
P06965,21 - 27,Female,Un-Married,Suburban,601K - 1M,1,3,"9,224.07"
Z08762,28 - 37,Female,Un-Married,Suburban,> 1M,1,2,"12,448.32"
P06684,28 - 37,Male,Married,Urban,601K - 1M,1,0,0.00
G03618,38 - 60,Male,Married,Urban,351K - 600K,1,0,0.00
A01502,21 - 27,Female,Married,Urban,351K - 600K,1,1,"5,283.42"
A00549,21 - 27,Female,Un-Married,Urban,351K - 600K,0.77,3,"8,697.89"
A00348,28 - 37,Female,Un-Married,Rural,601K - 1M,1,0,0.00
A01081,21 - 27,Female,Married,Urban,351K - 600K,1,1,"1,281.18"
Z08277,38 - 60,Female,Not Married,Urban,601K - 1M,1,0,0.00
A01972,21 - 27,Female,Un-Married,Urban,601K - 1M,1,3,"6,488.52"
Z07747,21 - 27,Male,Not Married,Urban,601K - 1M,1,3,"20,012.35"
A00528,38 - 60,Male,Un-Married,Suburban,601K - 1M,1,2,"2,598.85"
Z07819,21 - 27,Male,Un-Married,Urban,351K - 600K,1,0,0.00
G03489,< 21,Female,Married,Urban,351K - 600K,0.69,3,"4,432.34"
P06887,38 - 60,Male,Married,Urban,< 100K,1,1,"1,547.30"
G04424,38 - 60,Male,Un-Married,Suburban,100K - 350K,0.93,4,"10,567.84"
P07402,21 - 27,Female,Married,Urban,601K - 1M,1,4,"16,332.52"
A02002,38 - 60,Male,Married,Rural,351K - 600K,1,0,0.00
A01776,> 60,Male,Married,Suburban,351K - 600K,1,3,"4,026.34"
P05909,28 - 37,Female,Married,Suburban,351K - 600K,1,1,482.56
A01458,28 - 37,Female,Un-Married,Urban,351K - 600K,0.09,0,0.00
Z07582,21 - 27,Female,Married,Urban,601K - 1M,1,1,"3,054.96"
A00509,21 - 27,Male,Un-Married,Urban,351K - 600K,1,1,"3,638.73"
P06387,28 - 37,Male,Married,Suburban,601K - 1M,0.97,3,"7,857.37"
Z08735,< 21,Male,Married,Suburban,351K - 600K,0.68,3,"6,782.75"
Z09178,21 - 27,Male,Un-Married,Urban,601K - 1M,1,1,"5,768.94"
Z07755,28 - 37,Female,Married,Rural,351K - 600K,1,0,0.00
A00125,28 - 37,Male,Un-Married,Rural,> 1M,1,1,"1,103.79"
P07328,28 - 37,Female,Un-Married,Rural,100K - 350K,0.49,1,"8,109.71"
P06507,38 - 60,Male,Un-Married,Suburban,351K - 600K,1,1,"1,528.24"
P05773,21 - 27,Female,Un-Married,Urban,601K - 1M,1,2,"18,637.47"
P07389,28 - 37,Female,Married,Urban,601K - 1M,1,0,0.00
P06684,28 - 37,Male,Married,Suburban,601K - 1M,1,3,"1,891.41"
Z08886,21 - 27,Female,Married,Suburban,601K - 1M,1,4,"1,203.43"
G03045,> 60,Female,Married,Rural,< 100K,1,1,"6,178.35"
G03341,38 - 60,Male,Married,Suburban,100K - 350K,1,0,0.00
A00837,28 - 37,Female,Not Married,Urban,601K - 1M,1,2,"15,219.58"
A01008,38 - 60,Male,Married,Urban,601K - 1M,0.51,1,"1,717.83"
G03112,38 - 60,Female,Not Married,Urban,100K - 350K,1,0,0.00
A00337,28 - 37,Male,Married,Urban,100K - 350K,1,1,"2,045.02"
P05231,38 - 60,Female,Un-Married,Suburban,< 100K,1,0,0.00
G04993,> 60,Female,Not Married,Urban,< 100K,1,1,"8,669.37"
G03709,28 - 37,Female,Un-Married,Suburban,351K - 600K,1,0,0.00
A00082,21 - 27,Female,Married,Suburban,100K - 350K,1,1,"2,221.30"
G04203,< 21,Female,Married,Urban,100K - 350K,1,0,0.00
Z07982,21 - 27,Male,Not Married,Urban,351K - 600K,1,1,"2,176.43"
Z08932,28 - 37,Male,Not Married,Suburban,601K - 1M,1,1,"2,390.34"
A00933,21 - 27,Male,Married,Urban,351K - 600K,1,1,"3,887.43"
G04832,21 - 27,Female,Married,Urban,351K - 600K,1,3,"4,947.04"
P06649,38 - 60,Male,Married,Urban,< 100K,0.3,1,"3,369.76"
G03752,> 60,Male,Married,Urban,> 1M,0.68,1,"3,285.83"
G04612,28 - 37,Female,Un-Married,Urban,601K - 1M,1,1,"2,794.64"
G02585,38 - 60,Female,Not Married,Suburban,601K - 1M,1,2,"6,310.28"
G02776,38 - 60,Male,Un-Married,Urban,< 100K,1,0,0.00
A01436,21 - 27,Male,Un-Married,Suburban,601K - 1M,1,1,"1,489.83"
A01741,21 - 27,Male,Married,Suburban,601K - 1M,1,3,"8,596.05"
G04869,28 - 37,Male,Un-Married,Suburban,100K - 350K,0.18,1,"2,204.79"
G02650,38 - 60,Female,Married,Urban,100K - 350K,1,1,"2,049.32"
A00734,38 - 60,Female,Married,Rural,351K - 600K,1,0,0.00
Z09864,28 - 37,Male,Married,Urban,351K - 600K,1,2,"16,204.11"
P05881,38 - 60,Female,Married,Urban,351K - 600K,1,0,0.00
Z07785,21 - 27,Male,Married,Urban,601K - 1M,1,0,0.00
G04493,28 - 37,Male,Un-Married,Urban,351K - 600K,1,1,"1,318.18"
Z09132,28 - 37,Female,Not Married,Suburban,100K - 350K,1,2,"4,018.71"
Z08270,38 - 60,Female,Married,Rural,601K - 1M,1,0,0.00
G04724,28 - 37,Male,Married,Suburban,100K - 350K,1,2,"2,518.81"
A01186,28 - 37,Male,Un-Married,Urban,351K - 600K,1,1,"3,169.44"
P06785,38 - 60,Female,Not Married,Urban,601K - 1M,1,0,0.00
A02225,28 - 37,Female,Married,Urban,351K - 600K,1,2,"3,444.40"
G03016,28 - 37,Female,Un-Married,Suburban,601K - 1M,0.25,2,"3,173.31"
Z09331,< 21,Female,Married,Urban,601K - 1M,1,1,"1,422.85"
A00262,28 - 37,Female,Married,Suburban,351K - 600K,1,2,"5,421.66"
P05856,21 - 27,Female,Married,Suburban,601K - 1M,1,0,0.00
P05846,38 - 60,Male,Un-Married,Urban,351K - 600K,1,1,"2,718.06"
A01539,28 - 37,Male,Not Married,Suburban,351K - 600K,1,0,0.00
A00603,28 - 37,Female,Married,Suburban,351K - 600K,1,2,"6,311.00"
Z08735,28 - 37,Male,Not Married,Urban,351K - 600K,1,2,"6,345.32"
P05133,38 - 60,Female,Un-Married,Urban,100K - 350K,1,1,"1,444.50"
A00622,> 60,Female,Un-Married,Urban,601K - 1M,1,1,"6,767.19"
P07117,21 - 27,Female,Un-Married,Rural,100K - 350K,0.89,0,0.00
P06130,21 - 27,Female,Married,Suburban,351K - 600K,1,1,"5,459.05"
P07338,28 - 37,Female,Not Married,Suburban,601K - 1M,1,2,"1,310.11"
Z09300,38 - 60,Female,Un-Married,Suburban,601K - 1M,1,1,"1,705.63"
P07119,38 - 60,Female,Not Married,Rural,601K - 1M,1,0,0.00
P06567,28 - 37,Female,Married,Suburban,> 1M,0.81,4,"1,625.37"
P06818,38 - 60,Male,Not Married,Suburban,100K - 350K,1,1,"2,321.44"
P06422,38 - 60,Male,Not Married,Urban,351K - 600K,1,0,0.00
P07288,> 60,Male,Un-Married,Rural,351K - 600K,1,1,"1,800.46"
P06371,28 - 37,Male,Married,Urban,100K - 350K,1,2,"3,651.98"
G03302,28 - 37,Female,Married,Suburban,100K - 350K,1,0,0.00
A02236,28 - 37,Female,Un-Married,Urban,351K - 600K,1,0,0.00
P06824,28 - 37,Female,Married,Urban,601K - 1M,0.36,1,463.65
G03857,21 - 27,Male,Un-Married,Suburban,351K - 600K,1,1,"1,074.96"
Z07808,21 - 27,Female,Un-Married,Suburban,100K - 350K,1,0,0.00
G03275,28 - 37,Female,Un-Married,Urban,351K - 600K,1,2,"5,534.39"
P05988,21 - 27,Female,Un-Married,Suburban,351K - 600K,0.03,1,"1,637.96"
P06899,38 - 60,Female,Married,Suburban,100K - 350K,1,1,"4,022.75"
A01408,28 - 37,Female,Married,Urban,< 100K,1,2,"2,629.87"
P07499,> 60,Female,Un-Married,Suburban,351K - 600K,0.87,1,"3,016.59"
P06408,38 - 60,Female,Married,Suburban,351K - 600K,0.52,2,"8,096.86"
A00509,< 21,Female,Married,Urban,601K - 1M,1,2,"6,175.84"
P06794,38 - 60,Female,Un-Married,Suburban,601K - 1M,1,1,"2,919.10"
Z07650,21 - 27,Female,Un-Married,Urban,< 100K,1,2,"6,064.47"
P07124,28 - 37,Female,Married,Suburban,100K - 350K,1,1,758.69
Z08477,28 - 37,Male,Married,Urban,351K - 600K,1,2,718.14
P05077,38 - 60,Female,Un-Married,Suburban,> 1M,1,0,0.00
Z07905,> 60,Male,Not Married,Suburban,351K - 600K,1,1,"1,873.74"
Z09115,< 21,Female,Not Married,Rural,601K - 1M,1,2,"3,001.78"
P07314,28 - 37,Female,Not Married,Suburban,< 100K,1,0,0.00
G03132,28 - 37,Female,Married,Rural,100K - 350K,1,1,"2,209.00"
A00664,28 - 37,Female,Not Married,Urban,351K - 600K,0.75,0,0.00
P05837,21 - 27,Female,Not Married,Suburban,100K - 350K,1,2,"6,186.33"
Z09128,< 21,Male,Married,Rural,> 1M,1,2,"6,416.21"
