,target,MSTATUS,CAR_TYPE,REVOKED,URBANICITY,CAR_AGE,MVR_PTS,TIF,TRAVTIME,CLM_COUNT,EXPOSURE
53,0,Yes,Minivan,No,Highly Urban/ Urban,5.0,2,6,62,0,1.0
55,0,Yes,Minivan,No,Highly Urban/ Urban,15.0,0,10,36,0,0.873
56,0,Yes,SUV,No,Highly Rural/ Rural,5.0,0,6,33,0,1.0
57,0,Yes,Minivan,No,Highly Urban/ Urban,1.0,3,18,40,0,1.0
59,0,Yes,Minivan,No,Highly Rural/ Rural,11.0,2,1,24,0,1.0
60,1,No,Pickup,Yes,Highly Urban/ Urban,6.0,13,4,20,3,0.348
61,0,No,Minivan,Yes,Highly Urban/ Urban,1.0,2,1,29,0,1.0
63,0,Yes,Minivan,No,Highly Urban/ Urban,16.0,2,6,15,0,0.12
64,0,Yes,SUV,No,Highly Urban/ Urban,1.0,1,1,37,1,1.0
65,0,Yes,Minivan,No,Highly Urban/ Urban,6.0,0,13,30,0,1.0
66,0,Yes,Van,Yes,Highly Urban/ Urban,13.0,0,6,50,1,1.0
67,1,Yes,Minivan,Yes,Highly Rural/ Rural,1.0,0,4,26,2,1.0
68,0,Yes,Panel Truck,No,Highly Urban/ Urban,10.0,1,13,14,0,1.0
69,1,No,Minivan,No,Highly Urban/ Urban,10.0,0,4,24,2,1.0
70,1,Yes,SUV,No,Highly Urban/ Urban,1.0,0,13,46,2,1.0
71,0,Yes,SUV,Yes,Highly Urban/ Urban,8.0,0,4,20,0,0.72
72,1,No,Sports Car,Yes,Highly Urban/ Urban,10.0,2,4,13,2,0.243
73,0,Yes,Pickup,No,Highly Urban/ Urban,1.0,2,10,35,0,1.0
74,1,No,SUV,No,Highly Urban/ Urban,4.0,4,5,43,2,1.0
76,1,No,Sports Car,No,Highly Urban/ Urban,15.0,0,1,29,3,1.0
77,0,No,Panel Truck,Yes,Highly Urban/ Urban,18.0,2,3,31,0,1.0
78,0,No,Minivan,Yes,Highly Urban/ Urban,11.0,2,3,13,0,0.006
79,0,Yes,SUV,No,Highly Urban/ Urban,20.0,6,1,28,0,0.495
80,0,No,Panel Truck,Yes,Highly Urban/ Urban,12.0,1,4,22,0,1.0
82,0,Yes,Panel Truck,No,Highly Urban/ Urban,17.0,1,6,40,0,0.75
83,0,No,SUV,No,Highly Urban/ Urban,18.0,0,1,11,0,0.003
84,0,Yes,Minivan,No,Highly Urban/ Urban,1.0,0,6,9,0,0.309
85,1,No,Minivan,No,Highly Urban/ Urban,11.0,2,1,25,6,1.0
86,1,Yes,Sports Car,Yes,Highly Urban/ Urban,7.0,2,4,57,3,1.0
88,1,Yes,SUV,No,Highly Urban/ Urban,3.0,1,1,43,5,1.0
89,0,No,Sports Car,No,Highly Urban/ Urban,1.0,0,10,49,0,0.414
90,1,Yes,Pickup,No,Highly Urban/ Urban,1.0,4,13,14,4,1.0
91,0,No,SUV,No,Highly Urban/ Urban,12.0,2,1,27,0,1.0
92,0,Yes,SUV,No,Highly Urban/ Urban,14.0,6,10,42,0,1.0
93,0,No,Sports Car,No,Highly Rural/ Rural,1.0,0,10,35,0,1.0
94,0,No,Minivan,No,Highly Rural/ Rural,14.0,0,1,42,0,1.0
95,0,No,Minivan,No,Highly Rural/ Rural,6.0,0,13,50,0,1.0
96,0,Yes,Minivan,No,Highly Urban/ Urban,11.0,0,6,61,0,0.711
97,0,Yes,Van,No,Highly Rural/ Rural,6.0,5,10,41,0,0.693
98,1,Yes,SUV,No,Highly Urban/ Urban,1.0,4,1,32,3,1.0
99,0,No,SUV,No,Highly Urban/ Urban,8.0,0,1,21,0,1.0
100,0,No,Minivan,No,Highly Urban/ Urban,1.0,0,6,15,0,1.0
102,0,Yes,Minivan,No,Highly Urban/ Urban,13.0,0,6,5,0,1.0
103,0,Yes,Pickup,No,Highly Urban/ Urban,11.0,6,1,21,0,0.957
105,0,Yes,Sports Car,No,Highly Urban/ Urban,8.0,0,4,36,0,1.0
106,0,Yes,Minivan,No,Highly Urban/ Urban,9.0,2,6,28,0,1.0
107,0,No,Van,No,Highly Urban/ Urban,15.0,3,1,36,0,1.0
108,1,Yes,SUV,No,Highly Urban/ Urban,1.0,2,9,25,3,1.0
109,0,Yes,Minivan,Yes,Highly Urban/ Urban,17.0,4,7,24,0,1.0
110,1,Yes,Minivan,No,Highly Urban/ Urban,9.0,1,4,59,3,1.0
111,1,No,Panel Truck,No,Highly Urban/ Urban,17.0,6,13,17,3,0.993
112,0,No,SUV,No,Highly Urban/ Urban,1.0,0,4,33,0,1.0
113,0,Yes,Panel Truck,No,Highly Urban/ Urban,14.0,0,13,18,0,1.0
114,0,Yes,Pickup,No,Highly Rural/ Rural,8.0,0,1,26,0,0.423
115,1,No,Minivan,No,Highly Urban/ Urban,5.0,2,1,14,3,1.0
116,1,Yes,SUV,No,Highly Urban/ Urban,6.0,3,7,48,4,1.0
117,0,Yes,Minivan,No,Highly Urban/ Urban,14.0,2,1,63,0,1.0
118,1,Yes,SUV,No,Highly Urban/ Urban,10.0,0,1,50,2,0.828
119,0,Yes,SUV,No,Highly Urban/ Urban,7.0,3,1,26,0,1.0
120,0,No,Minivan,No,Highly Rural/ Rural,10.0,3,1,36,0,1.0
121,0,No,Panel Truck,No,Highly Urban/ Urban,1.0,0,16,8,0,1.0
122,1,Yes,SUV,No,Highly Urban/ Urban,1.0,0,6,23,7,0.192
123,0,Yes,SUV,No,Highly Urban/ Urban,16.0,0,7,23,0,1.0
124,0,No,Pickup,No,Highly Urban/ Urban,15.0,4,9,21,0,0.942
125,0,No,SUV,No,Highly Urban/ Urban,1.0,3,6,27,0,0.864
126,1,Yes,Pickup,No,Highly Urban/ Urban,5.0,1,4,33,4,0.753
127,0,Yes,SUV,No,Highly Urban/ Urban,1.0,2,11,23,0,1.0
129,0,Yes,Sports Car,No,Highly Rural/ Rural,10.0,0,4,40,0,1.0
130,0,Yes,SUV,Yes,Highly Urban/ Urban,15.0,0,1,18,0,1.0
131,0,Yes,Van,No,Highly Urban/ Urban,13.0,0,1,48,0,1.0
134,1,No,Van,No,Highly Urban/ Urban,8.0,1,3,28,5,0.417
135,0,Yes,Sports Car,No,Highly Urban/ Urban,21.0,0,1,35,0,1.0
136,1,No,Pickup,No,Highly Urban/ Urban,18.0,2,3,34,2,1.0
137,0,Yes,Sports Car,Yes,Highly Rural/ Rural,6.0,0,5,53,0,1.0
138,0,No,Minivan,Yes,Highly Urban/ Urban,11.0,0,6,44,0,1.0
139,0,Yes,Pickup,No,Highly Urban/ Urban,17.0,0,6,21,0,1.0
140,0,Yes,Minivan,No,Highly Urban/ Urban,17.0,4,1,14,0,1.0
141,1,Yes,SUV,No,Highly Urban/ Urban,1.0,0,7,36,3,0.882
142,1,Yes,Pickup,No,Highly Urban/ Urban,1.0,1,1,10,7,1.0
143,0,Yes,SUV,No,Highly Urban/ Urban,10.0,0,1,29,0,1.0
144,0,Yes,Pickup,No,Highly Urban/ Urban,1.0,1,9,24,0,1.0
145,0,Yes,Minivan,No,Highly Urban/ Urban,9.0,3,18,26,0,1.0
146,1,Yes,Van,No,Highly Urban/ Urban,14.0,2,1,21,1,0.087
147,0,No,SUV,No,Highly Urban/ Urban,1.0,0,4,5,0,1.0
148,0,No,Minivan,No,Highly Rural/ Rural,1.0,0,1,5,0,1.0
149,0,Yes,Panel Truck,No,Highly Urban/ Urban,11.0,0,4,40,0,0.288
150,0,Yes,SUV,No,Highly Rural/ Rural,1.0,1,4,68,0,1.0
151,0,Yes,Minivan,No,Highly Rural/ Rural,16.0,0,1,49,0,1.0
152,0,No,SUV,No,Highly Urban/ Urban,7.0,0,13,40,0,1.0
153,0,No,SUV,No,Highly Urban/ Urban,9.0,4,7,37,0,1.0
154,0,Yes,Van,No,Highly Urban/ Urban,4.0,3,1,35,0,0.54
156,0,Yes,Pickup,No,Highly Urban/ Urban,9.0,4,4,5,0,0.033
158,0,No,SUV,No,Highly Urban/ Urban,15.0,0,3,54,0,1.0
159,1,No,Pickup,No,Highly Urban/ Urban,1.0,5,11,47,3,0.864
160,0,No,SUV,No,Highly Rural/ Rural,1.0,0,1,38,0,1.0
161,0,Yes,Minivan,No,Highly Urban/ Urban,14.0,0,7,24,0,1.0
162,0,Yes,Van,No,Highly Urban/ Urban,7.0,0,13,11,0,1.0
163,0,No,Pickup,Yes,Highly Urban/ Urban,1.0,0,1,32,0,1.0
164,0,Yes,Sports Car,No,Highly Rural/ Rural,16.0,0,4,43,0,0.825
165,0,Yes,Minivan,No,Highly Urban/ Urban,8.0,4,1,60,0,1.0
166,1,No,SUV,No,Highly Urban/ Urban,20.0,4,1,35,4,0.18
167,1,Yes,Pickup,Yes,Highly Urban/ Urban,1.0,4,4,28,2,0.363
168,0,Yes,Sports Car,No,Highly Urban/ Urban,1.0,5,12,50,0,1.0
169,1,Yes,SUV,No,Highly Urban/ Urban,15.0,0,6,40,1,0.888
170,0,No,Pickup,No,Highly Rural/ Rural,1.0,0,4,33,0,1.0
171,0,No,SUV,No,Highly Urban/ Urban,10.0,6,10,36,0,1.0
172,0,Yes,Sports Car,No,Highly Urban/ Urban,13.0,1,7,49,0,1.0
173,0,Yes,Pickup,No,Highly Urban/ Urban,17.0,0,4,5,0,1.0
174,0,Yes,Pickup,No,Highly Urban/ Urban,12.0,1,6,29,0,1.0
175,0,Yes,Pickup,No,Highly Urban/ Urban,18.0,6,7,31,0,1.0
176,0,No,Minivan,No,Highly Urban/ Urban,14.0,3,4,16,0,1.0
177,0,Yes,Pickup,No,Highly Urban/ Urban,1.0,1,11,24,0,1.0
178,0,No,SUV,No,Highly Urban/ Urban,14.0,7,7,26,0,1.0
179,0,No,Pickup,No,Highly Urban/ Urban,7.0,0,7,35,0,1.0
180,0,Yes,SUV,No,Highly Urban/ Urban,1.0,1,7,29,0,1.0
181,0,Yes,Minivan,No,Highly Urban/ Urban,1.0,0,10,39,0,0.264
183,0,No,SUV,No,Highly Urban/ Urban,7.0,2,10,16,0,0.519
184,0,Yes,Panel Truck,No,Highly Rural/ Rural,14.0,0,4,45,0,1.0
185,0,Yes,SUV,No,Highly Urban/ Urban,1.0,8,7,30,0,1.0
186,0,No,Minivan,No,Highly Urban/ Urban,8.0,0,8,21,0,1.0
187,0,Yes,SUV,No,Highly Urban/ Urban,10.0,0,1,21,0,1.0
188,0,Yes,Minivan,No,Highly Urban/ Urban,10.0,2,13,14,0,1.0
189,0,Yes,Pickup,No,Highly Urban/ Urban,1.0,6,10,48,0,1.0
191,0,No,Sports Car,No,Highly Rural/ Rural,1.0,0,6,52,0,1.0
192,1,Yes,Pickup,No,Highly Urban/ Urban,16.0,2,10,37,3,1.0
193,0,No,Minivan,No,Highly Urban/ Urban,18.0,0,4,31,0,1.0
194,0,Yes,SUV,Yes,Highly Urban/ Urban,1.0,4,6,43,0,1.0
195,1,No,Sports Car,No,Highly Urban/ Urban,17.0,0,1,45,5,0.423
196,0,Yes,Minivan,No,Highly Urban/ Urban,4.0,5,6,55,0,1.0
197,0,No,Van,No,Highly Rural/ Rural,1.0,0,7,9,0,1.0
198,0,No,Sports Car,No,Highly Rural/ Rural,11.0,0,6,28,0,1.0
199,0,No,Panel Truck,No,Highly Rural/ Rural,1.0,3,1,17,0,1.0
200,0,Yes,Sports Car,No,Highly Urban/ Urban,7.0,4,10,37,0,1.0
201,0,Yes,SUV,No,Highly Urban/ Urban,9.0,0,13,29,0,1.0
202,0,Yes,Sports Car,No,Highly Rural/ Rural,7.0,2,10,34,0,1.0
203,1,No,SUV,No,Highly Urban/ Urban,7.0,0,6,12,4,1.0
204,0,Yes,SUV,No,Highly Rural/ Rural,9.0,0,13,31,0,0.432
205,1,No,Minivan,Yes,Highly Urban/ Urban,1.0,0,4,36,4,1.0
206,0,Yes,Sports Car,No,Highly Rural/ Rural,9.0,0,10,73,0,1.0
207,0,Yes,Minivan,No,Highly Urban/ Urban,5.0,1,10,49,0,1.0
208,0,No,SUV,No,Highly Urban/ Urban,9.0,6,6,21,0,0.912
209,0,Yes,Panel Truck,No,Highly Urban/ Urban,19.0,3,10,44,0,1.0
210,0,Yes,Sports Car,No,Highly Rural/ Rural,1.0,3,1,37,0,1.0
211,0,No,Van,No,Highly Rural/ Rural,19.0,2,7,38,0,1.0
212,1,No,Sports Car,No,Highly Urban/ Urban,1.0,5,7,24,6,1.0
213,0,Yes,SUV,No,Highly Urban/ Urban,5.0,3,4,36,1,1.0
215,0,Yes,Pickup,No,Highly Urban/ Urban,6.0,0,7,45,0,1.0
216,0,Yes,Minivan,No,Highly Rural/ Rural,13.0,0,9,41,0,1.0
218,0,Yes,Pickup,No,Highly Rural/ Rural,1.0,0,7,42,0,0.594
219,0,Yes,Minivan,No,Highly Rural/ Rural,15.0,0,4,38,0,1.0
220,1,No,Pickup,No,Highly Urban/ Urban,1.0,0,13,48,4,1.0
221,1,No,Sports Car,Yes,Highly Urban/ Urban,7.0,0,13,41,2,0.477
222,0,Yes,Pickup,No,Highly Urban/ Urban,10.0,0,4,51,0,1.0
223,0,No,Minivan,No,Highly Rural/ Rural,17.0,0,6,18,0,1.0
224,1,Yes,SUV,No,Highly Urban/ Urban,10.0,5,4,54,5,1.0
225,0,Yes,SUV,No,Highly Urban/ Urban,10.0,0,7,35,0,1.0
226,0,Yes,SUV,No,Highly Urban/ Urban,1.0,0,1,18,0,1.0
227,1,Yes,Van,Yes,Highly Urban/ Urban,10.0,2,1,46,2,1.0
228,0,No,Minivan,No,Highly Urban/ Urban,1.0,0,1,25,0,1.0
229,0,No,Pickup,No,Highly Rural/ Rural,6.0,0,8,43,0,1.0
230,0,Yes,SUV,No,Highly Rural/ Rural,1.0,0,10,10,0,1.0
231,0,Yes,Pickup,No,Highly Urban/ Urban,8.0,0,10,25,0,1.0
232,0,Yes,Van,No,Highly Urban/ Urban,1.0,0,1,27,0,0.708
233,0,Yes,Sports Car,No,Highly Urban/ Urban,1.0,0,3,44,0,0.987
234,1,No,Panel Truck,Yes,Highly Urban/ Urban,20.0,0,1,37,4,1.0
235,0,No,SUV,No,Highly Urban/ Urban,6.0,0,1,55,0,1.0
236,0,Yes,Minivan,Yes,Highly Urban/ Urban,1.0,3,13,32,0,1.0
237,0,Yes,SUV,No,Highly Urban/ Urban,7.0,0,1,31,1,1.0
238,0,No,Panel Truck,No,Highly Urban/ Urban,14.0,3,4,34,0,0.813
239,1,Yes,SUV,No,Highly Rural/ Rural,5.0,0,3,58,4,0.708
240,1,No,SUV,Yes,Highly Urban/ Urban,8.0,0,4,9,3,0.24
241,1,No,SUV,No,Highly Urban/ Urban,14.0,2,1,40,4,0.153
242,0,Yes,Pickup,No,Highly Urban/ Urban,23.0,0,10,23,0,1.0
243,0,No,Van,No,Highly Urban/ Urban,18.0,0,17,40,0,0.471
244,0,No,Minivan,No,Highly Urban/ Urban,1.0,0,7,39,0,1.0
245,0,Yes,SUV,No,Highly Urban/ Urban,17.0,0,3,39,0,1.0
246,0,No,Van,No,Highly Urban/ Urban,13.0,1,1,43,0,1.0
247,0,Yes,Minivan,No,Highly Urban/ Urban,7.0,0,1,40,0,0.282
248,0,No,Sports Car,No,Highly Urban/ Urban,8.0,5,11,29,0,1.0
249,0,No,Pickup,No,Highly Urban/ Urban,17.0,2,10,47,0,1.0
250,0,No,Pickup,No,Highly Rural/ Rural,8.0,0,13,22,0,1.0
251,0,No,Minivan,No,Highly Rural/ Rural,1.0,1,7,55,0,1.0
252,0,Yes,Sports Car,No,Highly Urban/ Urban,1.0,0,1,14,0,1.0
253,0,Yes,SUV,No,Highly Urban/ Urban,17.0,5,6,35,0,0.234
254,1,No,Pickup,No,Highly Urban/ Urban,16.0,0,13,26,4,1.0
255,0,Yes,Pickup,No,Highly Urban/ Urban,15.0,0,4,5,0,0.561
257,0,Yes,SUV,No,Highly Urban/ Urban,1.0,0,6,32,0,1.0
258,0,No,Minivan,No,Highly Rural/ Rural,5.0,6,4,38,0,1.0
260,0,No,Minivan,No,Highly Rural/ Rural,5.0,1,17,81,0,1.0
261,0,No,Minivan,No,Highly Urban/ Urban,12.0,1,3,61,0,1.0
262,0,Yes,SUV,No,Highly Urban/ Urban,10.0,0,4,19,0,0.768
263,0,Yes,Minivan,No,Highly Urban/ Urban,9.0,2,1,41,0,1.0
264,0,No,SUV,No,Highly Urban/ Urban,9.0,3,17,40,0,0.015
265,0,Yes,Minivan,No,Highly Urban/ Urban,8.0,0,10,30,0,1.0
266,0,No,Minivan,No,Highly Rural/ Rural,4.0,0,1,57,0,0.318
267,0,No,SUV,No,Highly Urban/ Urban,7.0,0,6,32,0,0.033
268,0,Yes,Pickup,No,Highly Rural/ Rural,1.0,0,10,5,0,1.0
269,1,No,Van,Yes,Highly Urban/ Urban,12.0,0,6,6,4,1.0
270,0,No,SUV,Yes,Highly Rural/ Rural,6.0,2,6,46,0,1.0
271,0,No,SUV,No,Highly Urban/ Urban,1.0,0,6,5,0,1.0
272,1,No,SUV,No,Highly Urban/ Urban,9.0,0,3,83,3,0.567
273,0,No,SUV,No,Highly Urban/ Urban,13.0,0,10,56,0,1.0
274,0,Yes,Sports Car,No,Highly Urban/ Urban,12.0,0,10,51,0,1.0
275,0,Yes,Minivan,No,Highly Urban/ Urban,15.0,1,4,9,0,1.0
276,0,Yes,Panel Truck,No,Highly Urban/ Urban,1.0,1,4,28,0,1.0
277,0,Yes,Minivan,No,Highly Urban/ Urban,11.0,1,1,27,0,0.87
278,1,Yes,Pickup,Yes,Highly Urban/ Urban,8.0,3,4,44,2,1.0
279,0,No,Pickup,No,Highly Urban/ Urban,11.0,7,4,17,0,0.528
280,1,Yes,Pickup,No,Highly Urban/ Urban,1.0,7,1,29,3,1.0
281,0,Yes,Van,No,Highly Urban/ Urban,13.0,0,14,43,0,1.0
282,1,No,Minivan,No,Highly Urban/ Urban,1.0,8,7,68,3,0.264
283,0,No,Minivan,No,Highly Urban/ Urban,8.0,0,6,13,0,1.0
284,0,Yes,Sports Car,Yes,Highly Urban/ Urban,14.0,0,4,34,0,1.0
285,0,No,Pickup,No,Highly Rural/ Rural,4.0,0,1,19,0,1.0
286,0,Yes,Sports Car,No,Highly Urban/ Urban,8.0,0,7,42,0,1.0
287,0,No,Minivan,No,Highly Urban/ Urban,12.0,1,6,29,0,0.936
289,1,Yes,Sports Car,No,Highly Urban/ Urban,9.0,8,1,41,1,0.192
290,1,No,Minivan,No,Highly Urban/ Urban,20.0,2,4,75,4,0.825
291,0,Yes,SUV,No,Highly Rural/ Rural,17.0,0,11,43,0,0.897
292,1,No,Panel Truck,No,Highly Urban/ Urban,11.0,1,4,30,3,0.585
293,0,Yes,Pickup,No,Highly Rural/ Rural,6.0,5,1,43,0,1.0
294,0,No,Minivan,No,Highly Urban/ Urban,3.0,0,11,33,0,0.462
295,1,No,Sports Car,No,Highly Urban/ Urban,5.0,4,9,21,2,1.0
296,0,No,Minivan,Yes,Highly Urban/ Urban,18.0,2,6,5,0,1.0
297,0,Yes,SUV,No,Highly Urban/ Urban,1.0,5,3,28,0,1.0
298,0,No,SUV,No,Highly Urban/ Urban,17.0,0,6,18,0,0.894
299,0,No,Panel Truck,No,Highly Urban/ Urban,20.0,4,4,27,0,1.0
301,0,No,SUV,No,Highly Urban/ Urban,14.0,6,1,18,0,1.0
302,1,Yes,Pickup,No,Highly Urban/ Urban,14.0,0,1,33,3,1.0
303,0,No,SUV,No,Highly Urban/ Urban,1.0,3,6,27,0,1.0
304,1,Yes,Minivan,No,Highly Urban/ Urban,14.0,1,4,63,2,0.237
305,1,Yes,Sports Car,Yes,Highly Urban/ Urban,11.0,2,13,63,4,0.774
306,0,Yes,SUV,Yes,Highly Urban/ Urban,9.0,9,1,40,0,0.891
307,0,Yes,SUV,Yes,Highly Urban/ Urban,1.0,1,1,34,0,1.0
308,1,No,SUV,No,Highly Urban/ Urban,1.0,0,4,19,1,0.345
310,0,Yes,Sports Car,Yes,Highly Urban/ Urban,8.0,2,4,28,0,1.0
311,0,Yes,SUV,No,Highly Urban/ Urban,10.0,0,3,28,0,0.909
312,0,No,SUV,Yes,Highly Urban/ Urban,10.0,1,1,49,0,1.0
313,0,Yes,SUV,No,Highly Rural/ Rural,8.0,3,1,32,0,1.0
314,0,Yes,Sports Car,Yes,Highly Rural/ Rural,10.0,0,17,84,0,1.0
315,1,No,Minivan,No,Highly Urban/ Urban,12.0,3,1,45,7,0.048
316,1,No,Pickup,No,Highly Rural/ Rural,1.0,5,1,34,3,0.636
317,1,Yes,Panel Truck,No,Highly Urban/ Urban,18.0,4,1,51,2,0.24
318,0,Yes,SUV,No,Highly Rural/ Rural,14.0,0,4,23,0,1.0
319,0,Yes,SUV,No,Highly Urban/ Urban,10.0,1,4,17,0,1.0
320,0,Yes,SUV,No,Highly Urban/ Urban,9.0,0,13,30,0,1.0
321,0,Yes,Minivan,No,Highly Rural/ Rural,1.0,0,6,32,0,1.0
322,1,No,SUV,No,Highly Urban/ Urban,1.0,8,1,44,4,1.0
323,1,No,Van,No,Highly Urban/ Urban,21.0,1,1,5,4,1.0
324,0,No,Minivan,No,Highly Urban/ Urban,10.0,2,1,45,0,1.0
325,1,No,Sports Car,No,Highly Urban/ Urban,1.0,4,1,25,5,1.0
326,1,No,Pickup,Yes,Highly Urban/ Urban,1.0,3,1,33,4,0.897
327,0,No,SUV,No,Highly Urban/ Urban,9.0,0,6,34,0,1.0
328,0,Yes,Pickup,No,Highly Urban/ Urban,17.0,2,7,30,0,1.0
329,0,No,SUV,No,Highly Urban/ Urban,1.0,0,6,44,0,1.0
330,0,No,Minivan,No,Highly Urban/ Urban,8.0,6,4,23,0,1.0
331,0,No,Minivan,No,Highly Rural/ Rural,10.0,1,4,43,0,1.0
332,0,No,Pickup,No,Highly Rural/ Rural,1.0,0,4,28,0,1.0
333,0,No,Minivan,No,Highly Urban/ Urban,5.0,6,1,16,0,1.0
334,1,Yes,Sports Car,No,Highly Urban/ Urban,18.0,1,6,50,1,0.24
335,0,Yes,Pickup,No,Highly Urban/ Urban,0.0,0,10,11,0,1.0
336,0,No,Van,No,Highly Urban/ Urban,13.0,0,4,24,0,1.0
337,0,Yes,Pickup,No,Highly Urban/ Urban,19.0,2,13,36,0,1.0
338,0,Yes,Minivan,No,Highly Rural/ Rural,5.0,0,10,39,0,1.0
339,1,Yes,Minivan,No,Highly Urban/ Urban,5.0,4,1,33,4,0.432
340,0,Yes,SUV,No,Highly Urban/ Urban,10.0,0,10,68,0,1.0
341,1,Yes,Sports Car,Yes,Highly Urban/ Urban,15.0,0,4,26,3,0.27
342,0,Yes,Minivan,No,Highly Urban/ Urban,7.0,0,6,29,0,1.0
343,0,No,SUV,No,Highly Urban/ Urban,1.0,4,3,22,0,1.0
344,0,Yes,Pickup,No,Highly Urban/ Urban,6.0,7,1,5,0,1.0
345,0,No,Panel Truck,No,Highly Urban/ Urban,19.0,6,1,46,0,1.0
346,0,Yes,Sports Car,No,Highly Urban/ Urban,13.0,1,4,19,0,1.0
347,1,Yes,SUV,No,Highly Urban/ Urban,7.0,9,1,39,4,0.621
348,0,Yes,Pickup,No,Highly Urban/ Urban,1.0,3,6,27,0,0.81
349,1,No,Minivan,No,Highly Urban/ Urban,1.0,7,9,52,3,0.807
351,1,Yes,SUV,No,Highly Urban/ Urban,14.0,2,1,55,4,1.0
